"id","anonymity","cues","MOD","base_resp","comp","feltresp","concern","courage","MOD_group","state_disinhibition","self_disclosure"
1,0,0,3.17288283006465,0.63685683356793,0,0.63685683356793,0,1,"high MOD",0.522949101989044,"low"
2,0,0,2.56825540570299,0.916981228091097,0,0.916981228091097,0,1,"low MOD",0.343737376849353,"no"
3,0,0,3.70509698356558,0.653164501342439,0,0.653164501342439,0,1,"high MOD",0.599810458597032,"low"
4,0,0,3.47402360542067,0.859814562228666,0,0.859814562228666,0,1,"high MOD",0.500676073994359,"low"
5,0,0,4.2474801452661,0.270396105655373,0,0.270396105655373,0,1,"high MOD",0.801028912916209,"high"
6,0,0,3.54752355377603,0.61870411269095,0,0.61870411269095,0,1,"high MOD",0.586171588983713,"low"
7,0,0,2.82999468361514,0.685215166562978,0,0.685215166562978,0,1,"low MOD",0.455317592382951,"low"
8,0,0,3.01254228186373,0.798999784992107,0,0.798999784992107,0,1,"high MOD",0.448391186443002,"low"
9,0,0,3.3052730323261,0.930014897449066,0,0.930014897449066,0,1,"high MOD",0.453114344219687,"low"
10,0,0,2.96398633128818,0.713013896127204,0,0.713013896127204,0,1,"low MOD",0.467378236774426,"low"
11,0,0,3.02740861672155,0.915806648186815,0,0.915806648186815,0,1,"high MOD",0.414737741591987,"low"
12,0,0,3.13483448644859,0.741740896925853,0,0.741740896925853,0,1,"high MOD",0.484823491168751,"low"
13,0,0,3.9138166881457,0.86525061255326,0,0.86525061255326,0,1,"high MOD",0.566663917390643,"low"
14,0,0,2.96473082471832,0.284563717337588,0,0.284563717337588,0,1,"low MOD",0.599323598468175,"low"
15,0,0,2.91992365970835,0.991626846633366,0,0.991626846633366,0,1,"low MOD",0.374872302529479,"no"
16,0,0,2.77398613953227,0.877617562283327,0,0.877617562283327,0,1,"low MOD",0.387500156148557,"no"
17,0,0,4.18372623786165,0.646963323175569,0,0.646963323175569,0,1,"high MOD",0.675353783309309,"high"
18,0,0,3.13175843023193,0.897096463821215,0,0.897096463821215,0,1,"high MOD",0.436548538859924,"low"
19,0,0,4.01901143858186,0.807836874952126,0,0.807836874952126,0,1,"high MOD",0.600513490565787,"high"
20,0,0,3.47158870096126,0.735620155035731,0,0.735620155035731,0,1,"high MOD",0.538515137059969,"low"
21,0,0,2.77438500230149,0.508212545021629,0,0.508212545021629,0,1,"low MOD",0.501224601885882,"low"
22,0,0,3.98118108744799,0.61633941341558,0,0.61633941341558,0,1,"high MOD",0.653615732402589,"high"
23,0,0,3.71955867065443,0.549095685882976,0,0.549095685882976,0,1,"high MOD",0.634056507521304,"high"
24,0,0,2.26639612258944,0.867569785703445,0,0.867569785703445,0,1,"low MOD",0.312501007874239,"no"
25,0,0,3.96961995251513,0.724506417513248,0,0.724506417513248,0,1,"high MOD",0.618554941152098,"high"
26,0,0,3.12242477574273,0.845960844782568,0,0.845960844782568,0,1,"high MOD",0.450846628642707,"low"
27,0,0,3.82853105829749,0.307311317281429,0,0.307311317281429,0,1,"high MOD",0.725216680574558,"high"
28,0,0,2.40154103247916,0.849666854986211,0,0.849666854986211,0,1,"low MOD",0.338801126539499,"no"
29,0,0,1.85669444500274,0.885003090959753,0,0.885003090959753,0,1,"low MOD",0.244105886628189,"no"
30,0,0,3.68182700079556,0.921873966075726,0,0.921873966075726,0,1,"high MOD",0.513550625945248,"low"
31,0,0,2.67767021222283,0.633589152141609,0,0.633589152141609,0,1,"low MOD",0.447767985836864,"low"
32,0,0,2.81862911423457,0.860426456226563,0,0.860426456226563,0,1,"low MOD",0.399657877197146,"no"
33,0,0,3.73828378145479,0.815043013277141,0,0.815043013277141,0,1,"high MOD",0.55510734690777,"low"
34,0,0,2.62894293212013,0.434963137715003,0,0.434963137715003,0,1,"low MOD",0.501387177952326,"low"
35,0,0,2.49319031309513,0.618794999166111,0,0.618794999166111,0,1,"low MOD",0.423938509963524,"low"
36,0,0,4.04514687699112,0.853235294714732,0,0.853235294714732,0,1,"high MOD",0.590565582701793,"low"
37,0,0,3.1448077967101,0.959506895404,0,0.959506895404,0,1,"high MOD",0.419352923984938,"low"
38,0,0,4.00800576726923,0.949354720395325,0,0.949354720395325,0,1,"high MOD",0.555276357919781,"low"
39,0,0,2.34938845130689,0.648583513977148,0,0.648583513977148,0,1,"low MOD",0.392649449746552,"no"
40,0,0,2.31738556984388,0.972364647063582,0,0.972364647063582,0,1,"low MOD",0.288100965494879,"no"
41,0,0,3.07886003758531,0.845707970221517,0,0.845707970221517,0,1,"high MOD",0.44422216879112,"low"
42,0,0,2.7006115318226,0.80125933881366,0,0.80125933881366,0,1,"low MOD",0.399706592953121,"no"
43,0,0,3.5747115800997,0.901924197787651,0,0.901924197787651,0,1,"high MOD",0.50320972069606,"low"
44,0,0,2.47255693137837,0.819169378768532,0,0.819169378768532,0,1,"low MOD",0.359110488283279,"no"
45,0,0,2.50408257222964,0.482397043455632,0,0.482397043455632,0,1,"low MOD",0.467582843895134,"low"
46,0,0,2.93646554942057,0.708510778508476,0,0.708510778508476,0,1,"low MOD",0.464529844985172,"low"
47,0,0,3.34703417083493,0.855344121395855,0,0.855344121395855,0,1,"high MOD",0.482514758160495,"low"
48,0,0,2.52536202831828,0.751506060534982,0,0.751506060534982,0,1,"low MOD",0.388053831884357,"no"
